epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,18093.3,1.31313,1.09095,1.34667,0.82339,0.76054,0.81642,0.50308,1.312,0.83419,1.31121,0.00610583,0.00610583,0.00610583
43,18525.3,1.30079,1.07704,1.33332,0.81304,0.75219,0.80078,0.49252,1.32613,0.81763,1.30866,0.00594536,0.00594536,0.00594536
44,18955.7,1.28999,1.06331,1.31518,0.80234,0.74696,0.79024,0.48767,1.33304,0.8519,1.31801,0.00578391,0.00578391,0.00578391
45,19386.6,1.29347,1.0813,1.32365,0.83229,0.77714,0.82844,0.51266,1.3192,0.81433,1.3121,0.00562165,0.00562165,0.00562165
46,19818,1.31111,1.0965,1.335,0.80376,0.75428,0.79991,0.49296,1.32556,0.82378,1.30976,0.00545877,0.00545877,0.00545877
47,20249.9,1.28597,1.08327,1.33015,0.82722,0.76286,0.81815,0.51145,1.30119,0.79911,1.29932,0.00529544,0.00529544,0.00529544
48,20681.7,1.30376,1.06934,1.3238,0.83715,0.74967,0.81923,0.5182,1.28937,0.79903,1.29586,0.00513184,0.00513184,0.00513184
49,21112.8,1.27946,1.04993,1.31665,0.83149,0.76941,0.82826,0.51669,1.29874,0.77799,1.29956,0.00496816,0.00496816,0.00496816
50,21544.8,1.28567,1.05495,1.32535,0.82518,0.7589,0.81826,0.51067,1.29672,0.80408,1.29557,0.00480456,0.00480456,0.00480456
51,21976.2,1.27945,1.03294,1.31558,0.81774,0.77599,0.82343,0.51423,1.30007,0.77959,1.29454,0.00464123,0.00464123,0.00464123
52,22408.3,1.27057,1.03174,1.31269,0.83039,0.77359,0.82725,0.51374,1.29334,0.78261,1.29267,0.00447835,0.00447835,0.00447835
53,22839.5,1.28464,1.0383,1.32278,0.8221,0.77128,0.82338,0.52252,1.28704,0.77313,1.29115,0.00431609,0.00431609,0.00431609
54,23271.4,1.25873,1.02164,1.31245,0.81978,0.78537,0.82719,0.52037,1.28848,0.77365,1.28879,0.00415464,0.00415464,0.00415464
55,23702.4,1.26562,1.03017,1.31276,0.85623,0.78586,0.84167,0.5242,1.28949,0.75548,1.29087,0.00399417,0.00399417,0.00399417
56,24133.2,1.26273,1.00879,1.30086,0.8156,0.76614,0.82026,0.51611,1.28856,0.77134,1.29188,0.00383485,0.00383485,0.00383485
57,24564.6,1.25797,1.00148,1.30261,0.85462,0.75325,0.82555,0.52169,1.27706,0.75783,1.27592,0.00367686,0.00367686,0.00367686
58,24994.8,1.24821,0.99903,1.30108,0.85438,0.78284,0.84496,0.5282,1.27056,0.74072,1.27673,0.00352037,0.00352037,0.00352037
59,25425.9,1.25562,0.9904,1.30852,0.85496,0.77852,0.83888,0.52809,1.28165,0.74172,1.28203,0.00336555,0.00336555,0.00336555
60,25857,1.23975,0.98389,1.29658,0.8129,0.76576,0.82035,0.51933,1.28259,0.76068,1.28166,0.00321257,0.00321257,0.00321257
61,26288,1.23989,0.98061,1.29357,0.82916,0.77806,0.83324,0.51959,1.27917,0.75047,1.28241,0.00306161,0.00306161,0.00306161
62,26718.7,1.24149,0.98783,1.29795,0.81917,0.772,0.82811,0.52367,1.27558,0.75329,1.28036,0.00291282,0.00291282,0.00291282
63,27150,1.23851,0.98353,1.28928,0.84913,0.77505,0.83429,0.5281,1.27301,0.74574,1.28194,0.00276636,0.00276636,0.00276636
64,27580.8,1.23801,0.97743,1.28316,0.84789,0.79141,0.84652,0.53414,1.26212,0.73817,1.27048,0.0026224,0.0026224,0.0026224
65,28011.3,1.22528,0.97251,1.28541,0.83244,0.7829,0.83327,0.52586,1.27357,0.75049,1.27719,0.0024811,0.0024811,0.0024811
66,28442.3,1.22669,0.9889,1.2914,0.82635,0.78115,0.83291,0.53163,1.26115,0.73626,1.27323,0.00234261,0.00234261,0.00234261
67,28870.5,1.20867,0.95225,1.28312,0.84467,0.78923,0.84185,0.53398,1.26389,0.71866,1.26996,0.00220707,0.00220707,0.00220707
68,29295.1,1.23688,0.9742,1.29186,0.82936,0.78582,0.83688,0.52868,1.26285,0.73392,1.27147,0.00207465,0.00207465,0.00207465
69,29721.2,1.21235,0.95678,1.2781,0.81784,0.78133,0.83204,0.52888,1.26236,0.7409,1.26617,0.00194548,0.00194548,0.00194548
70,30147.1,1.20845,0.9431,1.27171,0.82699,0.80089,0.84438,0.53456,1.25344,0.71915,1.26212,0.0018197,0.0018197,0.0018197
71,30578.4,1.20925,0.93678,1.27598,0.83899,0.79032,0.84389,0.53606,1.26316,0.72064,1.2681,0.00169746,0.00169746,0.00169746
72,31008,1.18526,0.92838,1.26365,0.85243,0.78319,0.84371,0.53237,1.26214,0.7201,1.26667,0.00157888,0.00157888,0.00157888
73,31438.9,1.19733,0.92062,1.2655,0.84783,0.79082,0.84838,0.54025,1.25166,0.70656,1.26345,0.0014641,0.0014641,0.0014641
74,31869.5,1.20318,0.908,1.26005,0.85044,0.78878,0.84762,0.53749,1.25775,0.70649,1.26678,0.00135323,0.00135323,0.00135323
75,32300.3,1.19918,0.93198,1.26904,0.83293,0.79539,0.84222,0.53729,1.25274,0.71336,1.26056,0.00124641,0.00124641,0.00124641
76,32729.9,1.1883,0.91695,1.2621,0.85168,0.79123,0.84772,0.54026,1.25589,0.70292,1.26402,0.00114375,0.00114375,0.00114375
77,33159.3,1.20246,0.90828,1.26279,0.85627,0.79248,0.85377,0.5458,1.25129,0.69488,1.26323,0.00104537,0.00104537,0.00104537
78,33589.8,1.19231,0.92704,1.26725,0.84418,0.7936,0.84807,0.53951,1.24902,0.70246,1.26188,0.000951356,0.000951356,0.000951356
79,34020.1,1.18977,0.90104,1.25731,0.85087,0.7977,0.85184,0.54392,1.24695,0.69554,1.26011,0.000861829,0.000861829,0.000861829
80,34450.8,1.19274,0.90676,1.26663,0.86088,0.79764,0.85426,0.54494,1.24798,0.69431,1.26054,0.00077688,0.00077688,0.00077688
81,34880.7,1.18714,0.90138,1.26699,0.85399,0.79166,0.85107,0.54412,1.24173,0.69287,1.25509,0.000696605,0.000696605,0.000696605
82,35311.3,1.18319,0.89782,1.25842,0.86257,0.79218,0.85305,0.54524,1.24479,0.6922,1.25666,0.00062109,0.00062109,0.00062109
83,35736,1.17181,0.89223,1.2542,0.85609,0.80216,0.85646,0.5467,1.24055,0.68791,1.25396,0.000550418,0.000550418,0.000550418
84,36165.1,1.17943,0.89888,1.2607,0.85333,0.80045,0.85508,0.54375,1.24253,0.68796,1.25472,0.000484666,0.000484666,0.000484666
85,36594.7,1.17979,0.88529,1.25932,0.86432,0.79995,0.85716,0.54594,1.2456,0.68801,1.25707,0.000423906,0.000423906,0.000423906
86,37027.3,1.22134,0.84517,1.30758,0.86136,0.79135,0.85022,0.53795,1.25217,0.6999,1.26118,0.000368205,0.000368205,0.000368205
87,37456.5,1.20626,0.80365,1.29445,0.86023,0.79523,0.85352,0.54145,1.24859,0.69063,1.25753,0.000317623,0.000317623,0.000317623
88,37886.2,1.21806,0.79792,1.30186,0.85894,0.79584,0.85524,0.54339,1.24364,0.68738,1.25571,0.000272216,0.000272216,0.000272216
89,38314.1,1.21078,0.79008,1.30048,0.854,0.80326,0.85674,0.54427,1.24228,0.68384,1.25572,0.000232033,0.000232033,0.000232033
90,38743.3,1.18734,0.77384,1.27934,0.85392,0.79307,0.85162,0.54135,1.24316,0.6882,1.25437,0.000197119,0.000197119,0.000197119
91,39172.1,1.19034,0.79295,1.28541,0.85867,0.79407,0.85242,0.54161,1.24326,0.68739,1.25325,0.000167512,0.000167512,0.000167512
92,39600.6,1.19373,0.75693,1.27218,0.86259,0.79621,0.85455,0.54455,1.23979,0.68309,1.25227,0.000143243,0.000143243,0.000143243
93,40028.3,1.19262,0.7664,1.27676,0.85626,0.80102,0.85277,0.54331,1.24043,0.68593,1.25235,0.00012434,0.00012434,0.00012434
94,40456.2,1.18087,0.76999,1.27971,0.8639,0.80054,0.85439,0.54407,1.24067,0.68251,1.25263,0.000110823,0.000110823,0.000110823
95,40884.7,1.18954,0.77624,1.28418,0.86636,0.7957,0.85455,0.54511,1.23961,0.68082,1.25201,0.000102706,0.000102706,0.000102706
